start,end,speaker,text
2253.68,2259.8,0,"They just sort of, they just get, or they just skip directly to the tech screen with me."
2260.55,2260.84,1,Okay.
2261.23,2261.52,0,Yeah.
2262.43,2262.92,1,Perfect.
2263.47,2263.76,0,Yeah.
2265.69,2266.04,1,Right.
2267.05,2267.4,0,Sweet.
2268.1,2276.15,1,"Was it just wanted to know my know my place as I just wanted to know my, my place and this on the clean flow."
2276.58,2276.87,1,Yeah.
2276.97,2280.63,0,"So, and let me know if there are any other ambiguities I'm happy to, I'm happy to clarify."
2281.82,2282.11,0,Yeah.
2282.26,2282.55,0,Okay.
2283.65,2284.47,0,We have 20 more minutes.
2284.65,2285.55,0,You wanna just hang out?
2285.79,2287.43,0,I feel like we didn't do an introductory call.
2288.27,2288.87,1,"I know, right?"
2290.18,2290.47,1,Yeah.
2290.48,2291.03,1,Let's do it.
2291.32,2291.99,0,How's everybody.
2292.2,2293.82,0,How's everybody in the family right now.
2294.48,2296.38,1,I'm gonna grab some cereal while we're doing this too.
2299.1,2299.22,0,Actually.
2299.22,2299.34,0,Yeah.
2299.78,2299.9,0,Everyone.
2302.68,2305.98,1,My house is super dark and it's super dirty.
2306.12,2310.58,1,So don't judge the clothes in the background and all the shit everywhere.
2311.59,2311.94,0,House?
2316.34,2317.16,3,That's lived in.
2317.46,2318.12,3,Oh my God.
2321.43,2321.72,1,Yeah.
2321.86,2323.04,1,"So yeah, everyone's good."
2324.38,2326.44,1,The baby is not with me today.
2326.58,2331.68,1,So I kind of feel like I kind of feel like I'm missing my left arm.
2333.21,2333.58,3,It's all right.
2333.58,2334.38,3,Who shot with you today?
2335.87,2336.37,1,My baby.
2338.98,2339.27,1,Yeah.
2339.27,2339.59,1,Where?
2339.65,2341.71,1,"So I feel like I'm miss, I'm missing my left arm."
2342,2342.95,1,Cause she's not here.
2344.66,2345.47,3,Where's your baby.
2346.52,2347.91,1,She's with my aunt.
2348.45,2355.35,1,So she's watching her for me for the next couple of weeks until I can get them both into Montessori school.
2356.45,2356.74,1,Nice.
2357.71,2361.22,1,"Cause I, I just didn't wanna put them in like a regular daycare."
2364.83,2369.83,1,"I felt like, you know, the Montessori method is something that my son really thrived in."
2369.98,2381.7,1,"Like his relationship with others, his development, you know, like his abilities and like were just like heightened during that time."
2382.21,2382.7,1,Totally.
2383.64,2397.77,1,"And so I wanna be able to provide them both with that type of education in the beginning of their, and then my son, he Isly going to like a, just like a parents day program."
2398.15,2417.07,1,So that's only like four days a week and it's only like it really Focused.
2418.13,2418.42,3,Yeah.
2420.04,2422.5,1,So yeah.
2422.57,2423.06,1,What else?
2426.1,2427.36,1,The Hub's off tomorrow.
2428.06,2430.12,1,So he'll be here.
2430.47,2433.72,1,"I'll have my first like real full day at, of work."
2438.73,2440.59,3,Not the not burning the midnight oil.
2441.42,2441.91,1,Exactly.
2442.34,2442.63,1,Yeah.
2442.89,2443.51,1,"It, yeah."
2443.74,2446.81,1,It's he gets annoyed when I do that.
2446.83,2451.13,1,"But then, but I'm like, I'm working like five hours a day right now."
2451.19,2455.41,1,"You know, I wanna be able to like show them that I can actually do my job."
2457.44,2458.29,3,"It's all good, man."
2458.53,2461.56,3,"I feel like if you gotta do it, you gotta do what you gotta do."
2470.41,2470.7,1,Yeah.
2473.81,2474.1,1,Yeah.
2474.28,2486.77,1,"That's one of the reasons like that I applied or not, not I applied, but that's a, one of the reasons that I like really like heavily considered build better as one of like the top offers for me."
2486.77,2493.88,1,"Because a lot of remote companies will say that they'll be like, oh yeah, we don't, we don't care about how many hours, you know, you put in."
2494.02,2500.36,1,"We just, we just wanna see the work and, and the, but the last company I was at, they said the same thing."
2500.86,2506.92,1,"And then when I wasn't there, like every two seconds to answer a slack message, it was a problem."
2508.23,2508.43,1,Interesting.
2508.7,2508.99,1,Yeah.
2509.78,2514.35,3,"Wait, so what would, what signal something different?"
2517.45,2518.06,1,What was that?
2518.85,2520.9,3,"What, what, so for, with build better?"
2521.57,2523.98,3,"What signal that we wouldn't, that we wouldn't do that?"
2527.78,2531.31,1,What signals that you wouldn't do that or that you don't do that?
2532.23,2533.2,3,That we would not do that.
2533.2,2533.4,3,Yeah.
2533.7,2535.23,3,"That we, that we don't do that."
2540.99,2555.53,1,"I guess the fact that there's like, not like immediate follow up, like, Like a, like 15 or 30 minutes later, you know, people aren't in my text messages saying, where is this?"
2556.06,2557.36,1,Or okay.
2560.82,2561.11,1,Yeah.
2562.91,2563.39,3,Synchronously.
2564.34,2566.43,1,"Yeah, yeah, yeah, exactly."
2567.47,2567.79,3,Makes sense.
2570.19,2571.35,3,I feel like that's really damaging.
2571.91,2572.31,3,I don't know.
2572.63,2591.62,3,"I like needing to be on like that all the time As somebody who doesn't do it well, and that like, I don't, I often don't have boundaries where I'll like, just check slack, you know, while I'm out to dinner or whatever, I don't expect it of other people."
2592.08,2604.42,3,"But like, I understand that it like stresses me out and sometimes I just have to like delete slack off of my phone for like an evening or for a couple of days just to like get away from it."
2605.24,2605.62,1,My gosh.
2605.68,2606.3,1,I'd do that too.
2606.52,2607.7,1,And then you download again.
2608.33,2608.98,3,"Yeah, exactly."
2610.54,2612.22,3,"Like, it's like TikTok for me."
2612.7,2614.62,3,I redownload TikTok every couple of weeks.
2616,2616.7,1,Oh my gosh.
2620.37,2623.41,1,"I get like lost in there and I'm like, this is so funny."
2624.32,2624.61,1,Yeah.
2624.83,2628.01,1,"And then I'm like, wait, I just spent three hours on the air."
2628.73,2630.57,3,I know Dude.
2630.72,2632.66,3,"Like, Yeah."
2632.85,2636.62,3,"It's, it's, It's wild that they created something."
2636.76,2637.5,3,So engaging.
2638.97,2642.93,3,"Like they're recommendation algorithms are just like wild and like, it's crazy."
2643.16,2654.6,3,"Like so often, like Technology isn't really emote because like it's easy to replicate once people know that it's possible."
2654.78,2656.16,3,"And like, you know, it's an open market."
2656.34,2662.3,3,"So people like, You know, people can like leave one company and join another and bring all of the knowledge."
2662.37,2663.22,3,They like that.
2663.22,2664.1,3,They accrued at the other company.
2664.98,2665.27,3,Yeah.
2675.56,2677.12,1,I know got some talented people there.
2677.12,2677.68,1,What are you eating?
2679.84,2679.96,3,Hmm.
2680.72,2689.24,3,I got this mixed nut butter from Costco and I'm just eating banana with mixed nut butter on it.
2689.34,2691.03,3,And maybe a drizzle of honey.
2692.23,2693.15,1,My pre say.
2693.7,2693.99,1,Yeah.
2694.07,2698.75,1,I just wanted to say a drizzle of agave or an maple syrup.
2699.78,2700.07,3,Yeah.
2700.41,2703.43,3,What's your favorite cereal and what cereal you're eating right now.
2704.93,2705.91,1,We don't eat one cereal.
2708.53,2709.63,1,We only eat one type of cereal.
2709.7,2712.02,1,"It's special can but, and almond."
2712.93,2713.22,3,Nice.
2713.96,2714.42,3,Oh dude.
2714.45,2714.74,3,Yeah.
2715,2717.82,3,The special cake strawberry stuff is like kind of bullshit.
2718.14,2725.47,3,"I, I don't think, I feel like the, like the, the, the fruit flavored cereals are no good."
2725.54,2727.75,3,Like you should just have fruit in the cereal then.
2727.92,2728.27,3,Right?
2728.86,2729.35,1,Exactly.
2729.74,2730.03,1,Yeah.
2730.34,2732.54,1,Like I feel like it's like fake fruit.
2733.05,2733.54,3,Exactly.
2733.56,2737.35,1,"And it's probably not, but it, it doesn't feel right."
2737.82,2738.31,3,Exactly.
2738.7,2738.99,3,Yeah.
2741.18,2742.83,3,"Wait, if you like vanilla, sorry."
2742.83,2743.39,3,What is it?
2743.39,2744.11,3,Vanilla nut.
2746.04,2746.84,3,Vanilla almond.
2746.86,2747.24,3,Oh yeah.
2747.24,2747.48,3,Yeah.
2749.49,2750.2,3,Honey bunches.
2750.2,2750.44,3,Almost.
2750.55,2753.16,1,"There's like actual, like sliced all."
2753.78,2754.07,1,Yeah.
2754.07,2755.23,1,Honey bunches of oats too.
2755.37,2755.95,1,Oh my God.
2756.25,2760.79,1,"But honey, bunches of oats is like super like sugary."
2760.91,2763.11,1,"I feel like, like overly sugary."
2763.7,2763.99,3,Yeah.
2763.99,2764.67,3,It totally is.
2764.73,2765.67,3,That's why I'm into it.
2770.27,2771.11,3,Can't have it in the house.
2771.12,2774.54,3,Cause I literally will demolish the entire thing.
2777.8,2778.9,1,So do you work it at home?
2782.64,2783.34,3,Or do you go outside?
2783.58,2785.94,3,"I, I go to a gym."
2800.34,2802.26,3,"And we have a, we have a lot of space on the ranch."
2802.36,2809.98,3,"And so like in the basement, I, I bought like a power rack and I worked out there."
2810.34,2818.13,3,"I basically did the cost benefit analysis of like, well, I have to drive to town every day and it's like 30 minutes to drive to town 30 minutes back."
2818.39,2819.45,3,"So like, oh wow."
2819.99,2835.27,3,"If I like, if I, if I amortize that or if I like value my time, then like it's E it's like very easy to see that even spending like $500 on gym equipment is like a worthwhile return on investment."
2836.1,2836.39,1,Yeah.
2837.73,2838.02,3,Yeah.
2840.6,2842.06,3,"So I go to, but yeah."
2842.16,2849.32,3,"And then I moved, I moved to Cambridge in September and everything's walking distance here."
2849.54,2857.28,3,So like I can bike to the gym in about like six minutes and I can walk there in like 30 if I wanna walk.
2859.26,2860.64,3,So it's nice.
2860.79,2861.08,3,Yeah.
2861.08,2861.72,3,What about you?
2865.12,2867,1,I walk my kids on their stroller.
2867,2867.88,1,Let me come show you.
2868.65,2874.64,1,"You won't, you won't be able to see how heavy it is from just by looking at it."
2874.7,2878.92,1,"But this thing is like, is super heavy with the kids in it."
2879.38,2881.64,1,I'm telling you it's a workout in itself.
2882.18,2883.28,1,And then I'm in Texas too.
2883.3,2886.4,1,"So it's like always like 70, 80 here."
2887.06,2887.52,3,Oh my God.
2888.71,2891.27,1,"Yeah, There's always a lot going on."
2893.14,2893.43,1,Okay.
2897.61,2898.39,1,Can you see that?
2899.1,2900.79,1,"Wait, let me do it from this angle."
2901.38,2903.15,3,"Whoa, damn dude."
2903.15,2904.07,3,That's a chunky boy.
2904.62,2904.91,1,Yeah.
2905.05,2905.55,1,How old are you?
2905.69,2910.55,1,"So my son Ezra, he's two he'll he'll get in here."
2911.64,2919.78,1,"And he always like, for some reason he never let me put him in like, like straight, like on the stroller."
2926.4,2931.34,1,"Go in there and then I'll just like chunk the, what is it?"
2931.71,2932.13,1,Car seat.
2932.13,2933.33,1,Just like right on top of here.
2933.95,2937.57,1,So there's like a car seat and a baby and then a toddler.
2938.51,2942.01,1,And then this thing already by itself is maybe 20 pounds.
2945.76,2946.05,3,Yeah.
2946.24,2946.53,1,Damn.
2948.11,2949.05,1,That's how I work out.
2950.05,2951.33,3,I feel like that's a pretty good one.
2951.59,2953.04,3,"And like, let's be real."
2953.2,2956.4,3,"I feel like the real workout is like, just having kids."
2958.1,2960.2,3,That's like the real mental and physical challenge.
2960.99,2961.48,1,Exactly.
2963.02,2964.2,1,You don't even have to do anything.
2964.23,2965.72,1,Just pop those suckers out.
2972.44,2977.63,3,"I, I was in an accelerator like a startup accelerator a couple years ago."
2978.3,2981.08,3,"And there was this woman who's like, she was 27."
2982.25,2983.31,3,She was a Stanford.
2983.45,2985.83,3,She had gone to Stanford for undergrad and grad school.
2986.65,2989.95,3,"And then, and she had had, she had a four year old at 27."
2990.01,2992.07,3,So she had the four year old when she was 23.
2992.93,2997.42,3,"And, and I asked her, I was like, how do you, how do you do it?"
2997.69,2999.06,3,"Like how, how does that work?"
2999.08,3000.22,3,"And she's like, you know what?"
3000.57,3003.63,3,"Like kids, they basically just raise themselves."
3004.68,3009.54,3,"And I was like, that's a great way to tell me that your kids are gonna be like pretty screwed up."
3014.49,3015.93,1,I've heard that thing before though.
3017.07,3019.41,1,I'm not sure exactly what they mean by that.
3020.01,3022.57,1,"I guess like when they get older, it's different."
3022.71,3030.84,1,"But like when they're young, like under two, like under three, I feel like We have to do everything for them."
3030.94,3038.28,1,"And then somebody told me that even after like when they're potty trained, like you still have to like go and wipe their butt."
3039.22,3040.16,1,"And I'm like, wait a minute."
3041.86,3043.24,1,And actually never thought about that.
3043.26,3049.35,1,"I'm gonna still have to probably keep wiping his butt for two years after he is been, you're really not potty train."
3049.35,3052.35,1,Cause I'm sitting here literally wiping your shit off.
3054.17,3055.51,3,You know how the big brand is.
3062.92,3064.55,1,Stool to hop on the toilet.
3067.02,3067.3,3,Yeah.
3068.71,3069.38,3,Teach 'em early.
3070.36,3072.38,3,I'm like very strongly opinioned about the day.
3072.62,3074.5,3,I think it's just like the more civilized way.
3076.44,3078.37,1,I've never used one I've always wanted to.
3078.37,3078.61,1,Yeah.
3088.57,3089.06,1,Wait a minute.
3089.06,3093.05,1,So you just sit there after like the water just like shoots up?
3093.83,3094.05,3,No.
3094.11,3100.37,3,"So I have like a low tech one, but basically just like hooks into the water supply."
3101.23,3104.56,3,"Like it's a, passthrough for the water supply to the toilet, like to the toilet tank."
3105.14,3113.11,3,"And I basically just flip a valve and then there's like a hose with, it's like a little nozzle at the end that you can like press down."
3113.58,3115.79,3,It's like a little garden hose with a spray.
3116.33,3118.91,3,We know like the ones where you like squeeze and then it sprays out.
3120.34,3122.71,3,"It's like that, but it's like all metal."
3125.37,3138.11,3,"And so you flip the switch so that the like water's bypassed and then you just wash it as, and then you flip the switch back so that the toilet can fill up again and you dry and it's like you the toilet."
3138.53,3143.87,3,"And it's like, your ass is actually clean rather than like, with all over it."
3146.65,3155.98,1,"Oh, toilet that you basically just like spray and then you just like sit there until it dries."
3156.75,3158.94,1,Cause I thought it would like replace the toilet paper.
3159.14,3163.85,1,I thought people did it because they wanted to be more environmentally friendly.
3164.95,3166.49,3,"Oh no, fuck the environment."
3166.49,3171.61,3,"Not literally fucking the environment, but like I'm not considering the environment when I'm, when I'm cleaning my ass."
3175.12,3175.32,1,Right?
3176.71,3177,1,Yeah.
3177,3177.88,1,That's a different story.
3177.88,3178.76,1,"Sorry, environment."
3179.01,3179.36,1,Sorry.
3179.61,3181.2,1,"Sorry, kids, grandkids."
3184.62,3185.32,3,That's be real.
3185.32,3187.36,3,Like paper trees are mostly grown on farms now.
3187.59,3189.44,3,They're probably like not carbon neutral.
3190.75,3194.3,3,Probably maybe MI minorly car of been positive.
3195.18,3195.3,3,Negative.
3201.06,3225.99,1,"Make me think, honestly though, like what you're doing right now is helping save the environment instead of you like trying to like beef up on like tons of like meat based proteins and stuff like is helping the environment because like farming and like industrial, like farming and raising cattle and doing all that is actual hurting the planet the most."
3227.01,3234.39,1,"So like trying to save paper like electricity, like and water and all this stuff like, yeah, that helps."
3249.12,3258.1,3,"My friend has this theory that like all of these ways that we like have been taught, what are they called?"
3259.21,3281.57,3,"Like green covering or something basically like all these companies, like all like big, big ag has, has an incentive to make you feel like you're doing something good for the environment by doing all of these like token examples of like environmentalism, like, oh, replacing your plastic straws with metal ones or like recycling."
3281.76,3282.85,3,Like most of it's bullshit.
3284.49,3295.77,3,"Most of the things that we recycle do not end that like do not end up like back in the, like back in the, the, the material supply of the world."
3295.8,3296.09,3,Yeah.
3298.47,3306.43,1,"Not only that, but like restaurants will give you like those paper straws, but then they'll give you like the plastic cups that I'm like."
3306.46,3306.75,1,Yeah.
3306.96,3307.31,3,Right.
3307.31,3307.67,3,Exactly.
3308.09,3309.78,3,It just doesn't any fucking sense.
3312.77,3313.06,3,Yeah.
3313.66,3320.24,3,"I don't know how you would, like, I don't know how you replace that."
3321.04,3326.68,3,"Although there have been a lot of, like, there have been a lot of ideas for mushroom based packing packaging."
3328.12,3328.93,3,Have you seen that?
3331.27,3332.01,1,"No, I haven't."
3332.01,3333.84,1,I've seen mushroom though.
3334.79,3335.49,3,"Oh, that's fun."
3335.68,3335.97,3,Whoa.
3337.23,3337.81,3,That's neat.
3338.39,3343.21,3,So basically like MyUM is like the underground network that mushrooms grow out of.
3343.71,3345.13,3,That's like the actual organism.
3345.13,3345.41,3,Right.
3345.43,3349.69,3,"And mushrooms are just like the sex organs of the like, of the MyUM network."
3351.15,3356.44,3,"And like you can get mys networks that get really, really like firm."
3356.78,3370.96,3,And like people have used them for bricks and like insulation and even a proposal for making a mycelia network to shield like the next big telescope that goes into space.
3370.96,3381.99,3,"Because like there's some mushroom or the, there are some my, my species that can like absorb radioactive decay or like, you know, radioactive waste."
3383.02,3383.24,1,Wow.
3384.71,3385,3,Yeah.
3386.24,3389.4,1,I would love to see that like sped up over time.
3392.27,3395.32,3,"Like, like the, like a video of like it growing in space."
3395.99,3396.28,1,Yeah.
3397.07,3397.36,3,Yeah.
3398.68,3398.84,1,Interesting.
3404.5,3412.35,1,"I'm not trying to get off the with you, my mom and husband, just me I'm out."
3412.41,3414.15,1,And I'm thinking to.
